Path,Question,Answers,,,,Right answer,Difficult,
aksioma,Шо то фигня шо это ,Алгоритм Брожовского,Теорема Мехельсона,Аксиома Эскобара,Правило буравчика,3,10,
babulekh,Что это за парень?,Бабулех,Бесей,Рандомная стоковая пикча,Кiт,1,10,
batyanaldu,как рыбалка?,холошо,иди отсюдава,офигенна,намана,4,3,
bBad,Откуда этот кадр?,Улицы разбитых фонарей,Флеш,Во все тяжкие,Форсаж,3,6,
boloto,Зачем он это сделал?,конкурс вконтакте,поразить девушку,потому что он художник,проиграл спор,1,7,
buiniyslava,что нужно запилить данному человеку,карту пятерочки,дверь,сайт,приложение на Android,2,1,
bus,Сколько плакало людей?,пол маршрутки,автобус,маршрутка,пол автобуса,1,1,
bynd,Кого бьет эта обезьяна?,Землю,Леопарда,Змею,Другую обезьяну,2,7,
dich,В какую страну он никогда не поедет?,Япония,Россия,Китай,Америка,3,6,
doge,Порода собаки doge,Йоркширский терьер,Шиба-ину,Мопс,Померанский шпиц,2,4,
escobar,Кто это?,Марадона,Лукошенко,Черчесов,Эскобар,4,2,
grem,Как его зовут?,Грей,Грег,Гарольд,Грэм,4,8,
kandibober,Как называется головной убор у этой милой дамы,Афганка,Кандибобер,Пикельхельм,Шляпа,2,3,
kandibober,Что прошла эта дама?,Чечня,Вьетнам,Call of duty на эксперте,Афганистан,4,5,
litvinkov,чего не было в салатике,морковки,яблок,яиц,ананаса,3,5,
lurk,На каком сайте ты узнаешь значение и историю «мемов фольклора и Всего Остального»?,Лепра,Двачик,1001мем,Луркоморье,4,6,
memiprokotov,Выключайте...,Электроприборы,Лампы накаливания,Свет перед уходом,Мозг,1,9,??
myaso,Что сейчас будит?,Мессиво,Жесть,Жарко,Мясо,4,3,
naklz,do u no de wey?,i'm ugandian,i no de wey,mmm smels like ebola,be ma queen,2,6,????????
natalya,Где у нее джип?,в Питере,в Москве,в Казани,в Новгороде,2,5,
negrq,Кем он работает в реальной жизни,баскетболист,повар на телешоу,раб,порноактер,1,7,
notbad,Кто это?,Шакил О'Нил,Майкл Джордан,Барак Обама,Муса Дембеле,3,1,
pepe,с кем ассоциировали лягушонка пепе?,Шрек 2,Маска,Дональд Трамп,Халк,3,4,??????
petr,чего будет много у петра?,телок,денег,проблем,счастья,1,5,
petr,за что его полюбят вне рашки?,за его ботинки,за его рубашку,за его гамашки,за его прическу,2,5,
pocik,Сколько ты должен?,Косарь,Тысячу,1000,Касик,1,1,
pureshka,Котлетки с ...,макарошками,картошечкой,пюрешкой,пустотой бытия,3,1,
pyani,Что такое пяни?,skittles,snickers,fanta,Любитель выпить на польском,1,9,
shagi,Шаги за ...,шаги,лаги,гиги,баги,3,6,
shyngys,Как его зовут?,Кумыс,Бауржан,Даирбек,Шынгыс,4,3,
skelet,EEE,Реп,Рок,Бой,Классека,2,1,
spanchbob,Кто это?,Крыса,Пикачу,Древний спанчбоб,Рой бидрил,3,2,
svidetel,Свидетель из,Фрязино,Бутово,Пушкино,Щукино,1,8,
b,WHOOOO???,fuck yeah boy,roock man,pickup master,karlik,3,3,
natalya,что она сейчас будет делать?,кричать,стрелять,приседать,избивать,2,4,
natalya,из какого она рода войск?,Десант,Морская пехота,Морской флот,Танковые войска,2,2,
